"Age"	"population_mean_jump"	"population_sd_yoyo"	"population_mean_sprint"	"population_sd_jump"	"population_mean_yoyo"	"population_sd_sprint"
"9.5"	54.6781944444444	87.0796534518608	0.274497916666667	3.20049509514476	1637.67083333333	0.0165999368990447
"10.0"	55.0464347826087	92.2736439925004	0.27518347826087	3.16959911242358	1657.04869565217	0.016615847946418
"10.5"	56.3934861278649	96.2027296832606	0.28240482509047	3.20333431832211	1692.00434258142	0.0157572428212573
"11.0"	57.2866598150051	94.5640402344077	0.285406988694759	3.26362494510372	1725.75169578623	0.0159320274426389
"11.5"	58.0727438468551	97.9572465163613	0.289045943482224	3.2200060979763	1737.08587055606	0.0160988825282187
"12.0"	59.1593345656192	98.7628344548217	0.295295748613678	3.12224253489446	1773.54565619224	0.0157618422491054
"12.5"	60.2592648444863	95.6860642594372	0.302545900094251	3.19051256108368	1814.67822808671	0.0159654808844904
"13.0"	61.7597676669894	92.3183129194334	0.309838528557599	3.09159499868459	1860.49370764763	0.0157520598678656
"13.5"	63.559362745098	96.1422153816497	0.318904166666667	3.20515498675391	1911.98382352941	0.0157747980195069
"14.0"	64.7381460674157	95.2892775717152	0.323927808988764	3.10829586244742	1950.71966292135	0.0163829629775594
"14.5"	66.3187982832618	96.1361618133158	0.331467811158798	3.31482045996514	1995.08755364807	0.0168792611293842
"15.0"	67.4856435643564	97.2023887289614	0.337379207920792	3.14044769795743	2025.01188118812	0.0151554775450724
"15.5"	68.2444052863436	89.5954467688633	0.341991189427313	3.19055713690661	2050.68898678414	0.0154508501898068
"16.0"	68.6771428571429	95.04268079101	0.347832142857143	3.29596398860791	2087.21428571429	0.016367271715366
"16.5"	70.7285714285714	89.1256379834403	0.351154761904762	3.36166379591479	2105.04285714286	0.0176332749848012
"17.0"	70.6984615384615	92.7977570332777	0.349684615384615	3.19754279715975	2103.64615384615	0.0173358224225116
"17.5"	70.3022222222222	99.0177643004467	0.3579	2.4373649116245	2172.13333333333	0.0140388117479407
